Beginn Stunde;Ende Stunde;Stromspotpreise Deutschland [EUR/MWh];CO2 Preise [EUR/t];Gasspotpreise Deutschland [EUR/MWh];Stromverbrauch Deutschland [MW];Stromerzeugung Deutschland - Biomasse [MW];Stromerzeugung Deutschland - Braunkohle [MW];Stromerzeugung Deutschland - Gas [MW];Stromerzeugung Deutschland - Steinkohle[MW];Stromerzeugung Deutschland - Wasserkraft [MW];Stromerzeugung Deutschland - Nuklear [MW];Stromerzeugung Deutschland - Solar [MW];Stromerzeugung Deutschland - Wind Offshore [MW];Stromerzeugung Deutschland - Wind Onshore [MW]
01.07.2018 00:00;01.07.2018 01:00;33,3;14,95;21,89;42346,5;4464,5;11928,75;2374,25;1238,5;1826,5;8939,75;0;2341,25;15277,5
01.07.2018 01:00;01.07.2018 02:00;26,42;14,95;21,89;40215,75;4460,25;11610;2367;1193,5;1826,5;8950,25;0;2266;14608,25
01.07.2018 02:00;01.07.2018 03:00;26,11;14,95;21,89;38870,5;4478,5;11073,25;2348;1217,75;1816;8918,5;0;2023;14176,25
01.07.2018 03:00;01.07.2018 04:00;22,12;14,95;21,89;37833,5;4477,75;10498,25;2361,25;1281,75;1800;8955,75;0;1730,75;13418,25
01.07.2018 04:00;01.07.2018 05:00;23,42;14,95;21,89;37345,75;4490,5;10496;2370,75;1284,5;1800;9003;1,5;1490,75;12351
01.07.2018 05:00;01.07.2018 06:00;21,44;14,95;21,89;36939,75;4508,5;10498;2347,75;1266,5;1794,25;8984,25;264,25;1474;11551,75
01.07.2018 06:00;01.07.2018 07:00;23,43;14,95;21,89;37568,25;4525,25;10984,75;2327;1259;1786,25;8975,25;2018,5;1163,25;10154,25
01.07.2018 07:00;01.07.2018 08:00;29,37;14,95;21,89;40324,75;4552,75;10956;2329,25;1272,75;1776,25;9157,5;6498;1083,5;7173
01.07.2018 08:00;01.07.2018 09:00;29,98;14,95;21,89;44079,25;4553,5;11063;2310;1286,25;1786,75;9187;12971,75;910;6351,25
01.07.2018 09:00;01.07.2018 10:00;26,08;14,95;21,89;47158,5;4531;10753,75;2304,5;1291,75;1793;8774,25;19260,75;722,25;8527,5
01.07.2018 10:00;01.07.2018 11:00;20,71;14,95;21,89;49476;4538;10024,5;2294;1299,25;1785,5;7551,25;23806;626;9558,5
01.07.2018 11:00;01.07.2018 12:00;20,75;14,95;21,89;51168,25;4539;9340,75;2239;1313;1773,25;7967,5;26785;662,5;9953,75
01.07.2018 12:00;01.07.2018 13:00;21,02;14,95;21,89;50842,5;4512;9046,75;2268,5;1308,75;1773,25;8182,5;28229,75;750,75;10632,25
01.07.2018 13:00;01.07.2018 14:00;16,66;14,95;21,89;49350,25;4503,25;8730,5;2246,25;1319,75;1770,5;7530,5;28561;833;10892,75
01.07.2018 14:00;01.07.2018 15:00;14,01;14,95;21,89;47980;4498,25;8660,75;2240,5;1238;1770,5;7352,75;27493,75;963;10252
01.07.2018 15:00;01.07.2018 16:00;16,28;14,95;21,89;47345,75;4527,5;8743,25;2257,5;1237;1762,5;7670,25;25192,25;962,25;9783,75
01.07.2018 16:00;01.07.2018 17:00;19,04;14,95;21,89;47160;4526,75;9513,5;2264,5;1272,5;1764,5;8522;21484,75;1029;9542,75
01.07.2018 17:00;01.07.2018 18:00;28,37;14,95;21,89;47987;4547,25;12938,5;2303,5;1493;1759,5;8960,5;16476,5;1132,75;9450
01.07.2018 18:00;01.07.2018 19:00;42,19;14,95;21,89;48935,5;4551,5;14470;2385,25;2459;1756;9043,25;10344,25;1197;9243,75
01.07.2018 19:00;01.07.2018 20:00;48,37;14,95;21,89;49482;4540,5;14777,25;2568,25;3116,75;1752;9117;4564,5;1252;9182
01.07.2018 20:00;01.07.2018 21:00;49,67;14,95;21,89;49011,25;4535,25;14924,25;2680;3663,5;1747,5;9142;1366,5;1669,5;8569,75
01.07.2018 21:00;01.07.2018 22:00;46,28;14,95;21,89;48286;4528,75;15104,75;2912,25;3685;1737,5;9152,75;106,5;2100,5;9422
01.07.2018 22:00;01.07.2018 23:00;48,04;14,95;21,89;48855,25;4505,75;15424,5;2987,25;3585;1728,5;9131,75;0;2055,5;11679
01.07.2018 23:00;02.07.2018 00:00;41;14,95;21,89;46524,5;4502;15742,75;2932;2763,5;1718,75;9149;0;1717;12841,5
02.07.2018 00:00;02.07.2018 01:00;36,81;15,03;22,04;43829,25;4501,5;15654,25;1321;1794,25;1707,25;9127,75;0;1402,25;12731,25
02.07.2018 01:00;02.07.2018 02:00;38,06;15,03;22,04;41867,5;4486,5;15624,5;2946,75;2209,5;1709,25;9171,75;0;1420,5;11914,75
